rank,team,conference,rating,delta_rank,quality_wins,record,week,season,track_type
"82","Oklahoma State","Big 12","0.500000","","","0-0","15","2024","retro"
"83","Old Dominion","Sun Belt","0.500000","","","0-0","15","2024","retro"
"84","Ole Miss","SEC","0.500000","","","0-0","15","2024","retro"
"85","Oregon","Big Ten","0.500000","","","0-0","15","2024","retro"
"86","Oregon State","Pac-12","0.500000","","","0-0","15","2024","retro"
"87","Penn State","Big Ten","0.500000","","","0-0","15","2024","retro"
"88","Pittsburgh","ACC","0.500000","","","0-0","15","2024","retro"
"89","Purdue","Big Ten","0.500000","","","0-0","15","2024","retro"
"90","Rice","American Athletic","0.500000","","","0-0","15","2024","retro"
"91","Rutgers","Big Ten","0.500000","","","0-0","15","2024","retro"
"92","Sam Houston","Conference USA","0.500000","","","0-0","15","2024","retro"
"93","San Diego State","Mountain West","0.500000","","","0-0","15","2024","retro"
"94","San José State","Mountain West","0.500000","","","0-0","15","2024","retro"
"95","SMU","ACC","0.500000","","","0-0","15","2024","retro"
"96","South Alabama","Sun Belt","0.500000","","","0-0","15","2024","retro"
"97","South Carolina","SEC","0.500000","","","0-0","15","2024","retro"
"98","Southern Miss","Sun Belt","0.500000","","","0-0","15","2024","retro"
"99","South Florida","American Athletic","0.500000","","","0-0","15","2024","retro"
"100","Stanford","ACC","0.500000","","","0-0","15","2024","retro"
"101","Syracuse","ACC","0.500000","","","0-0","15","2024","retro"
"102","TCU","Big 12","0.500000","","","0-0","15","2024","retro"
"103","Temple","American Athletic","0.500000","","","0-0","15","2024","retro"
"104","Tennessee","SEC","0.500000","","","0-0","15","2024","retro"
"105","Texas","SEC","0.500000","","","0-0","15","2024","retro"
"106","Texas A&M","SEC","0.500000","","","0-0","15","2024","retro"
"107","Texas State","Sun Belt","0.500000","","","0-0","15","2024","retro"
"108","Texas Tech","Big 12","0.500000","","","0-0","15","2024","retro"
"109","Toledo","Mid-American","0.500000","","","0-0","15","2024","retro"
"110","Troy","Sun Belt","0.500000","","","0-0","15","2024","retro"
"111","Tulane","American Athletic","0.500000","","","0-0","15","2024","retro"
"112","Tulsa","American Athletic","0.500000","","","0-0","15","2024","retro"
"113","UAB","American Athletic","0.500000","","","0-0","15","2024","retro"
"114","UCF","Big 12","0.500000","","","0-0","15","2024","retro"
"115","UCLA","Big Ten","0.500000","","","0-0","15","2024","retro"
"116","UConn","FBS Independents","0.500000","","","0-0","15","2024","retro"
"117","UL Monroe","Sun Belt","0.500000","","","0-0","15","2024","retro"
"118","UNLV","Mountain West","0.500000","","","0-0","15","2024","retro"
"119","USC","Big Ten","0.500000","","","0-0","15","2024","retro"
"120","Utah","Big 12","0.500000","","","0-0","15","2024","retro"
"121","Utah State","Mountain West","0.500000","","","0-0","15","2024","retro"
"122","UTEP","Conference USA","0.500000","","","0-0","15","2024","retro"
"123","UTSA","American Athletic","0.500000","","","0-0","15","2024","retro"
"124","Vanderbilt","SEC","0.500000","","","0-0","15","2024","retro"
"125","Virginia","ACC","0.500000","","","0-0","15","2024","retro"
"126","Virginia Tech","ACC","0.500000","","","0-0","15","2024","retro"
"127","Wake Forest","ACC","0.500000","","","0-0","15","2024","retro"
"128","Washington","Big Ten","0.500000","","","0-0","15","2024","retro"
"129","Washington State","Pac-12","0.500000","","","0-0","15","2024","retro"
"130","Western Kentucky","Conference USA","0.500000","","","0-0","15","2024","retro"
"131","Western Michigan","Mid-American","0.500000","","","0-0","15","2024","retro"
"132","West Virginia","Big 12","0.500000","","","0-0","15","2024","retro"
"133","Wisconsin","Big Ten","0.500000","","","0-0","15","2024","retro"
"134","Wyoming","Mountain West","0.500000","","","0-0","15","2024","retro"
